sale_date,transactions,revenue
2026-02-23,69,5890.0
2026-02-24,52,4140.0
2026-02-25,50,4235.0
2026-02-26,68,6850.0
2026-02-27,60,4390.0
2026-02-28,50,3785.0
2026-03-01,59,4695.0
2026-03-02,63,4895.0
2026-03-03,47,4065.0
2026-03-04,43,3565.0
2026-03-05,51,4070.0
2026-03-06,53,4480.0
2026-03-07,40,3010.0
2026-03-08,53,4640.0
2026-03-09,62,4780.0
2026-03-10,50,3400.0
2026-03-11,46,3365.0
2026-03-12,46,3320.0
2026-03-13,58,5365.0
2026-03-14,63,5815.0
2026-03-15,63,5605.0
2026-03-16,63,4690.0
2026-03-17,48,3470.0
2026-03-18,52,3685.0
2026-03-19,65,5680.0
2026-03-20,61,5420.0
2026-03-21,55,5435.0
2026-03-22,54,4735.0
2026-03-23,66,5640.0
2026-03-24,59,5365.0
2026-03-25,56,3715.0
2026-03-26,72,5475.0
2026-03-27,57,4615.0
2026-03-28,55,4385.0
2026-03-29,63,5465.0
2026-03-30,62,4480.0
2026-03-31,48,3765.0
2026-04-01,55,4535.0
2026-04-02,56,4505.0
2026-04-03,61,5170.0
2026-04-04,67,5600.0
2026-04-05,56,4440.0
2026-04-06,56,4495.0
2026-04-07,56,5920.0
2026-04-08,60,4810.0
2026-04-09,56,4475.0
2026-04-10,39,3710.0
2026-04-11,59,4930.0
2026-04-12,52,5180.0
2026-04-13,51,4980.0
2026-04-14,60,4100.0
2026-04-15,70,5860.0
2026-04-16,54,4700.0
2026-04-17,59,5045.0
2026-04-18,56,4065.0
2026-04-19,63,5180.0
2026-04-20,60,4925.0
2026-04-21,56,4585.0
2026-04-22,49,4730.0
2026-04-23,58,4705.0
2026-04-24,42,4215.0
2026-04-25,49,4230.0
2026-04-26,52,5045.0
2026-04-27,44,2930.0
2026-04-28,55,4780.0
2026-04-29,51,4305.0
2026-04-30,56,4455.0
2026-05-01,64,5105.0
2026-05-02,56,4690.0
2026-05-03,52,4305.0
2026-05-04,63,5680.0
2026-05-05,44,3270.0
2026-05-06,51,3875.0
2026-05-07,51,4445.0
2026-05-08,50,3770.0
2026-05-09,43,3435.0
2026-05-10,58,3895.0
2026-05-11,48,3070.0
2026-05-12,42,3780.0
2026-05-13,58,5020.0
2026-05-14,76,6710.0
2026-05-15,62,5310.0
2026-05-16,53,3955.0
2026-05-17,64,4900.0
2026-05-18,55,4565.0
2026-05-19,57,5525.0
2026-05-20,56,4555.0
2026-05-21,58,4920.0
2026-05-22,59,5660.0
2026-05-23,54,4160.0
2026-05-24,52,3910.0
2026-05-25,39,3200.0
2026-05-26,66,5590.0
2026-05-27,58,4395.0
2026-05-28,58,4610.0
2026-05-29,45,4015.0
2026-05-30,58,4840.0
2026-05-31,50,4960.0
2026-06-01,50,4045.0
2026-06-02,51,3835.0
2026-06-03,47,3855.0
2026-06-04,55,4520.0
2026-06-05,63,4140.0
2026-06-06,63,5140.0
2026-06-07,40,2825.0
2026-06-08,42,3030.0
2026-06-09,60,4980.0
2026-06-10,49,4360.0
2026-06-11,73,5385.0
2026-06-12,36,3385.0
2026-06-13,40,3755.0
2026-06-14,57,4770.0
2026-06-15,57,3560.0
2026-06-16,63,4355.0
2026-06-17,52,4580.0
2026-06-18,63,4980.0
2026-06-19,64,4955.0
2026-06-20,49,3400.0
2026-06-21,50,3555.0
2026-06-22,43,3810.0
2026-06-23,48,4560.0
2026-06-24,53,4750.0
2026-06-25,63,5505.0
2026-06-26,62,5065.0
2026-06-27,42,3780.0
2026-06-28,56,4455.0
2026-06-29,47,3680.0
2026-06-30,59,4410.0
2026-07-01,63,4735.0
2026-07-02,65,4675.0
2026-07-03,60,3745.0
2026-07-04,57,4730.0
2026-07-05,58,4230.0
2026-07-06,67,5635.0
2026-07-07,55,5245.0
2026-07-08,49,3660.0
2026-07-09,55,4115.0
2026-07-10,65,5095.0
2026-07-11,47,3740.0
2026-07-12,54,4745.0
2026-07-13,62,5180.0
2026-07-14,53,4685.0
2026-07-15,52,5150.0
2026-07-16,59,4990.0
2026-07-17,63,4805.0
2026-07-18,49,4210.0
2026-07-19,58,4495.0
2026-07-20,58,4335.0
2026-07-21,51,3460.0
2026-07-22,46,3805.0
2026-07-23,61,4985.0
2026-07-24,65,5865.0
2026-07-25,58,5885.0
2026-07-26,59,4895.0
2026-07-27,45,3230.0
2026-07-28,46,3720.0
2026-07-29,69,5850.0
2026-07-30,59,4705.0
2026-07-31,46,3335.0
2026-08-01,58,4915.0
2026-08-02,62,5345.0
2026-08-03,45,3670.0
2026-08-04,50,4340.0
2026-08-05,51,3905.0
2026-08-06,48,4090.0
2026-08-07,50,3875.0
2026-08-08,65,5305.0
2026-08-09,67,6030.0
2026-08-10,61,4840.0
2026-08-11,39,3800.0
2026-08-12,40,2960.0
2026-08-13,61,5125.0
2026-08-14,52,4870.0
2026-08-15,54,4575.0
2026-08-16,50,3520.0
2026-08-17,69,4790.0
2026-08-18,60,4600.0
2026-08-19,46,3935.0
2026-08-20,53,4760.0
2026-08-21,58,4705.0
2026-08-22,70,5550.0
